topo,data,pred,pull
01,78,71.31,-0.79
23,57,58.94,0.25
02,52,39.58,-1.97
13,25,43.07,2.75
03,25,22.65,-0.49
12,18,19.45,0.33
f_single,,0.0,
f_corr,,1.0,
f_fake,,0.0,
neg2logL,,862.12,
Pearson_chi2,,12.52,
G_test,,13.5,
