360.933,0.37518
362.572,0.40307
364.807,0.43217
366.309,0.46313
369.433,0.50278
372.117,0.54626
373.906,0.57272
376.29,0.61809
377.781,0.64266
380.165,0.68803
382.549,0.7315
384.934,0.77309
387.917,0.81657
389.724,0.84811
391.833,0.87068
394.466,0.89956
396.605,0.92576
398.768,0.94616
400.814,0.96358
402.366,0.97891
404.791,0.99008
407.524,0.99232
410.027,0.97539
414.225,0.93761
417.228,0.89415
419.931,0.85069
425.634,0.77322
428.637,0.72977
431.34,0.68631
434.044,0.64096
434.646,0.62584
436.751,0.58049
437.955,0.54837
439.462,0.50112
440.968,0.45577
442.475,0.41042
444.584,0.34806
446.389,0.3027
448.195,0.25735
449.336,0.23035
450.754,0.19287
452.972,0.14232
454.963,0.10264
460.624,0.05187
466.766,0.0181
475.972,0.00231
