464.364,0.006982
468.552,0.060726
469.588,0.083002
470.475,0.105277
471.213,0.128481
471.652,0.154469
472.241,0.177673
472.681,0.199949
473.121,0.223152
473.561,0.246356
474.726,0.338242
475.017,0.361446
475.308,0.384649
475.599,0.407853
475.89,0.431057
476.473,0.47468
476.764,0.497883
477.347,0.541506
477.638,0.56471
477.929,0.587913
478.221,0.611117
478.661,0.634321
478.952,0.657524
479.243,0.6798
479.678,0.718782
480.118,0.741985
480.409,0.765189
480.999,0.787465
481.439,0.810668
482.027,0.833872
482.467,0.857076
482.76,0.873782
483.349,0.896986
484.087,0.919262
484.974,0.941537
486.159,0.963813
487.642,0.984233
491.065,0.991659
494.641,0.987019
500.307,0.961961
502.247,0.946183
503.891,0.925764
505.386,0.904417
506.584,0.882142
507.633,0.859867
508.532,0.839448
509.581,0.817173
510.481,0.794898
511.53,0.772623
511.98,0.761486
513.178,0.739211
514.673,0.717864
516.02,0.696517
517.515,0.67517
518.713,0.653823
520.209,0.627836
521.556,0.606489
522.902,0.585142
523.949,0.570292
525.444,0.548945
527.088,0.528526
528.583,0.50718
530.079,0.485833
531.574,0.464486
532.921,0.443139
534.416,0.42272
536.209,0.402302
538.001,0.381883
538.45,0.377243
540.391,0.357752
542.184,0.337334
544.274,0.317843
546.364,0.300209
548.752,0.282575
549.949,0.262156
550.395,0.264941
552.484,0.252876
554.425,0.233385
560.545,0.182339
563.526,0.173059
566.062,0.159137
568.449,0.142432
571.431,0.131295
574.561,0.122014
577.543,0.109949
580.524,0.097884
583.506,0.086747
586.635,0.080251
590.21,0.07654
593.785,0.070972
597.064,0.063548
599.897,0.051483
